Код отдела;Название отдела;Руководитель отдела;Телефон отдела
001;Отдел кадров;Иванов И.И.;+7 (123) 456-78-90
002;Отдел маркетинга;Петрова А.А.;+7 (123) 456-78-91
003;Отдел продаж;Сидоров С.С.;+7 (123) 456-78-92
004;Финансовый отдел;Кузнецова О.О.;+7 (123) 456-78-93
005;IT-отдел;Смирнов Д.Д.;+7 (123) 456-78-94
006;Юридический отдел;Федорова Е.Е.;+7 (123) 456-78-95
007;Отдел логистики;Григорьев Г.Г.;+7 (123) 456-78-96
008;Отдел обслуживания клиентов;Николаев Н.Н.;+7 (123) 456-78-97
009;Отдел исследований и разработок;Морозов М.М.;+7 (123) 456-78-98
010;Отдел качества;Павлова П.П.;+7 (123) 456-78-99
011;Отдел по работе с клиентами;Солдатова А.А.;+7 (123) 456-79-00
012;Отдел закупок;Борисов Б.Б.;+7 (123) 456-79-01
013;Отдел продаж в интернете;Дмитриева В.В.;+7 (123) 456-79-02
014;Отдел стратегического планирования;Тихонов Т.Т.;+7 (123) 456-79-03
015;Отдел по работе с партнерами;Захарова З.З.;+7 (123) 456-79-04
016;Отдел HR маркетинга;Сергеев С.С.;+7 (123) 456-79-05
017;Отдел аналитики данных;Лебедев Л.Л.;+7 (123) 456-79-06
018;Отдел корпоративных продаж;Семенова С.С.;+7 (123) 456-79-07
019;Отдел технической поддержки;Ковалев К.К.;+7 (123) 456-79-08
020;Отдел планирования и отчетности;Соловьев С.С.;+7 (123) 456-79-09
021;Отдел инноваций и технологий;Гусев Г.Г.;+7 (123) 456-79-10
022;Отдел по работе с государственными контрактами;Михайлова М.М.;+7 (123) 456-79-11
023;Отдел развития бизнеса;Крылов К.К.;+7 (123) 456-79-12
024;Отдел управления проектами;Костина К.К.;+7 (123) 456-79-13
025;Отдел внешнеэкономической деятельности;Романов Р.Р.;+7 (123) 456-79-14

