Код должности;Название должности;Требование к квалификации;Должностные обязанности
001;Менеджер по продажам;Опыт в продажах от 2 лет;Поиск и привлечение клиентов, ведение переговоров.
002;Специалист по маркетингу;Знание основ маркетинга;Разработка и реализация маркетинговых стратегий.
003;HR-менеджер;Опыт работы в HR от 3 лет;Подбор персонала, организация обучения сотрудников.
004;Бухгалтер;Высшее образование в области бухгалтерии;Ведение бухгалтерского учета, подготовка отчетности.
005;Аналитик данных;Знание SQL и Excel;Сбор и анализ данных для принятия бизнес-решений.
006;Разработчик ПО;Опыт программирования на Python или Java;Создание и поддержка программного обеспечения.
007;Системный администратор;Опыт работы с сетями и серверами;Настройка и поддержка IT-инфраструктуры.
008;Специалист по работе с клиентами;Коммуникабельность и опыт работы с клиентами;Консультирование клиентов, решение их проблем.
009;Менеджер проектов;Опыт управления проектами от 2 лет;Планирование и контроль выполнения проектов.
010;Дизайнер;Опыт работы в графическом дизайне;Создание визуальных материалов для маркетинга.
011;Специалист по SEO;Знание SEO-оптимизации сайтов;Оптимизация сайтов для поисковых систем.
012;Копирайтер;Опыт написания текстов для веба;Создание контента для сайтов и социальных сетей.
013;Финансовый аналитик;Высшее образование в области финансов;Анализ финансовых показателей компании.
014;Специалист по закупкам;Опыт работы в закупках от 2 лет;Поиск поставщиков, ведение переговоров.
015;Инженер по качеству;Знание стандартов качества ISO;Контроль качества продукции, проведение аудитов.
016;Специалист по PR;Опыт работы в PR от 2 лет;Разработка PR-стратегий, работа со СМИ.
017;Технический писатель;Опыт написания технической документации;Создание инструкций и руководств пользователя.
018;Менеджер по продукту;Опыт управления продуктами от 3 лет;Разработка стратегии продукта, анализ рынка.
019;Специалист по обучению персонала;Опыт в обучении сотрудников;Разработка и проведение тренингов.
020;Аудитор;Опыт внутреннего или внешнего аудита от 2 лет;Проведение аудиторских проверок, составление отчетов.
021;Специалист по безопасности информации;Знание стандартов информационной безопасности;Оценка рисков, разработка политик безопасности.
022;Менеджер по развитию бизнеса;Опыт в развитии бизнеса от 3 лет;Поиск новых возможностей для роста компании.
023;Специалист по логистике;Опыт работы в логистике от 2 лет;Организация доставки товаров, управление запасами.
024;UX/UI дизайнер;Опыт работы в дизайне интерфейсов;Разработка удобных пользовательских интерфейсов.
025;Специалист по социальным сетям;Опыт ведения социальных сетей от 1 года;Создание контента и продвижение в соцсетях.
026;Менеджер по работе с ключевыми клиентами;Опыт работы с VIP-клиентами от 3 лет;Поддержка отношений с ключевыми клиентами.
027;Специалист по поддержке пользователей;Коммуникабельность и опыт в техподдержке;Консультирование пользователей, решение технических проблем.
028;Координатор мероприятий;Опыт организации мероприятий от 2 лет;Планирование и проведение корпоративных мероприятий.
029;Специалист по продажам B2B;Опыт продаж в сегменте B2B от 2 лет;Поиск и привлечение корпоративных клиентов.
030;Интернет-маркетолог;Знание инструментов интернет-маркетинга;Разработка и реализация онлайн-кампаний.
031;Специалист по контент-менеджменту;Опыт работы с CMS системами от 1 года;Управление контентом на сайте компании.
032;Менеджер по качеству обслуживания клиентов;Опыт работы в сфере обслуживания от 2 лет;Контроль качества обслуживания, работа с отзывами клиентов.
033;Специалист по аналитике бизнеса;Знание методов бизнес-анализа;Анализ бизнес-процессов, подготовка отчетов для руководства.
034;Клиентский менеджер;Опыт работы с клиентами от 2 лет;Поддержка клиентов, решение их запросов.
035;Сервисный инженер;Опыт работы с оборудованием от 2 лет;Обслуживание и ремонт оборудования, консультации клиентов.
036;Рекрутер;Опыт подбора персонала от 1 года;Поиск кандидатов, проведение собеседований.
037;Специалист по управлению проектами в IT;Опыт в IT-проектах от 2 лет;Управление проектами разработки программного обеспечения.
038;Менеджер по корпоративным продажам;Опыт в корпоративных продажах от 3 лет;Разработка стратегии продаж для корпоративных клиентов.
039;Специалист по финансовому планированию;Знание финансового анализа и планирования;Составление бюджетов, анализ финансовых потоков.
040;Директор по маркетингу;Опыт работы на руководящей позиции в маркетинге от 5 лет;Разработка маркетинговой стратегии компании.
041;Специалист по управлению изменениями в компании;Опыт внедрения изменений от 3 лет;Анализ текущих процессов.
042;Менеджер по работе с дистрибьюторами;Опыт работы с дистрибьюторами от 2 лет;Поддержка отношений с дистрибьюторами.
043;Специалист по CRM-системам;Знание CRM-систем и их настройки от 1 года;Настройка и поддержка CRM-системы, обучение пользователей.
044;Координатор проектов в области IT-технологий;Опыт управления проектами в IT от 2 лет;Координация команд, контроль сроков выполнения задач.
045;Специалист по исследованиям рынка;Знание методов исследования рынка от 1 года;Проведение исследований, анализ конкурентной среды.
046;Менеджер по внутренним коммуникациям;Опыт работы с внутренними коммуникациями от 2 лет;Разработка стратегий внутренних коммуникаций.
047;Специалист по обработке данных (Data Entry);Внимательность к деталям и опыт работы с данными от 1 года.;Ввод и обработка данных, поддержка отчетности.
048;Аналитик бизнес-процессов: Опыт анализа бизнес-процессов от 2 лет.;Анализ текущих процессов, разработка рекомендаций по оптимизации.
049;Менеджер по развитию продукта: Опыт управления продуктами от 3 лет.;Разработка стратегии развития продукта, работа с командой разработки.
050;Менеджер по контролю качества продукции: Опыт управления продуктами от 3 лет.;Разработка стратегии развития продукта, работа с командой разработки.
